Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
MYRTACEAE,Eucalyptus cordata,t,,,,Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus coronata,w,V,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus creta,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Eucalyptus crispata,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus crucis subsp. crucis ,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus crucis subsp. praecipua,w,E,,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus dalrympleana,"a,n,q,s,t,v",,,"Kueh (2011), Podger & Batini (1971)","McDougall (pers. comm.), Rudman (pers. comm.)",Kueh (2011),,Suitable,Low,
MYRTACEAE,Eucalyptus decipiens,w,,,,Barrett (pers. comm.),Wills (1993),,Suitable,Low,
MYRTACEAE,Eucalyptus decurva,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Eucalyptus deflexa,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus delegatensis,"a,n,t,v",,,,Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus diminuta,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus dissimulata,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Eucalyptus diversicolor,w,,,"Pratt & Heather (1973), DBCA (2021)",,,,Suitable,Low,
MYRTACEAE,Eucalyptus dives,"a,n,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001)",,VNPS (1995),,Suitable,Low,
MYRTACEAE,Eucalyptus dolichorhyncha,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus doratoxylon,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus dunnii,"n,q",,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus ebbanoensis subsp. photina,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus eugenioides,"n,q,v",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus falcata,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Eucalyptus fastigata,"a,n,v",,,"Cahill (pers. comm.), University of Pretoria (2002)",,VNPS (1995),,Suitable,Low,
MYRTACEAE,Eucalyptus fibrosa,"n,q",,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus foecunda,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Eucalyptus foliosa,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Eucalyptus forrestiana,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus fraxinoides,"n,v",,,University of Pretoria (2002),McDougall (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus gardneri,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus globoidea,"n,v",,,"Cahill (pers. comm.), Pratt & Heather (1973)",,VNPS (1995),,Suitable,Low,
MYRTACEAE,Eucalyptus globulus,"n,s,t,v",,,"Pratt & Heather (1973), Podger & Batini (1971)","Rudman (pers. comm.), Roleybushcare (2022)",,,Suitable,Low,
MYRTACEAE,Eucalyptus gomphocephala,w,,,Shivas (1989),Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus goniantha subsp. goniantha,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus goniocalyx,"a,n,s,v",,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus grandis,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus halophila,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus imlayensis,n,CE,,,McDougall (pers. comm.),,,Suitable,Moderate,
MYRTACEAE,Eucalyptus incrassata,"n,s,v,w",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus insularis,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Eucalyptus kruseana,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus laeliae,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus lansdowneana,s,,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus lehmannii,w,,,Shivas (1989),Tynan et al. (2001),,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Eucalyptus leprophloia,w,E,,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus leucoxylon,"n,s,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus ligulata subsp. ligulata,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Eucalyptus ligulata subsp. stirlingica,w,,E,,Groves et al. (2009),"Barrett et al. (2008), Shearer & Crane (unpub. data)",,Suitable,Moderate,
MYRTACEAE,Eucalyptus litorea,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus macrorhyncha,"a,n,s,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001)",McDougall (pers. comm.),VNPS (1995),Weste (2001),Suitable,Low,
MYRTACEAE,Eucalyptus mannifera,"a,n,v",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus marginata,w,,,"Belhaj et al. (2018), Podger (1972), Podger & Batini (1971), Podger (1968), Pratt & Heather (1973), Shearer & Dillon (1995), Shearer & Dillon (1996)",,"Belhaj et al. (2018), Podger (1972), Wills (1993)",Shearer & Dillon (1996),Suitable,Low,
MYRTACEAE,Eucalyptus megacarpa,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus merrickiae,w,V,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Eucalyptus microcarpa,"n,q,s,v",,,Kueh (2011),,Kueh (2011),,Suitable,Low,
MYRTACEAE,Eucalyptus mimica,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Eucalyptus misella,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus moderata,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus nicholii,n,,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus nitens,"n,v",,,"Cahill (pers. comm.), Podger (1989)",,,,Suitable,Low,
MYRTACEAE,Eucalyptus nitida,t,,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus obliqua,"n,q,s,t,v",,,"Cahill (pers. comm.), Lee & Wicks (1977), Podger & Batini (1971), Podger et al. (1990), Pratt & Heather (1973), Vickery (1997), Weste (2001)",,"Rudman (pers. comm.), VNPS (1995) , Velzeboer (pers. comm.)",Weste (2001),Suitable,Low,
MYRTACEAE,Eucalyptus occidentalis,w,,,Shivas (1989),"Gardner & Rokich (1987), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Eucalyptus odorata,s,,,Kueh (2011),,,Kueh (2011),Suitable,Low,
MYRTACEAE,Eucalyptus ovata,"n,q,t,v",,,Podger et al. (1990),"Rudman (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
MYRTACEAE,Eucalyptus pachyloma,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Eucalyptus paniculata,n,,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus parvula,n,V,,,Wan et al. (2019),,,Suitable,Low,
MYRTACEAE,Eucalyptus patens,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus pauciflora,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Podger & Batini (1971), Taylor (1974), Weste (2001)",Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus pendens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus pileata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus pilularis,"n,q",,,"Podger & Batini (1971), Pratt & Heather (1973)",,,,Suitable,Low,
MYRTACEAE,Eucalyptus piperita,n,,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus platydisca,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus polyanthemos,"a,n,v",,,Taylor (1974),,,,Suitable,Low,
MYRTACEAE,Eucalyptus praetermissa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus preissiana subsp. lobata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus pulchella,t,,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus purpurata,w,,CE,,,,Shearer & Crane (unpub. data),Marginal,High,"Disease unlikely in this habitat, changed to High"
MYRTACEAE,Eucalyptus quaerenda,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Eucalyptus racemosa,"n,q",,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus radiata,"a,n,q,t,v",,,"Cahill (pers. comm.), Podger & Batini (1971), Pratt & Heather (1973), Weste (2001)",,VNPS (1995) ,,Suitable,Low,
MYRTACEAE,Eucalyptus recta,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Eucalyptus regnans,"t,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001)",Rudman (pers. comm.),VNPS (1995) ,Weste (2001),Suitable,Low,
MYRTACEAE,Eucalyptus rhodantha,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Eucalyptus robusta,"n,q",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus rossii,"a,n",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus rudis,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus saligna,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus salmonophloia,w,,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus scyphocalyx,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus sieberi,"a,n,t,v",,,"Kueh (2011), Podger & Batini (1971), Weste (2001)",,"McDougall (pers. comm.), Rudman (pers. comm.)",Weste (2001),Suitable,Low,
MYRTACEAE,Eucalyptus sinuosa,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus smithii,"n,v",,,University of Pretoria (2002),,,,Suitable,Low,
MYRTACEAE,Eucalyptus spathulata,w,,,,Hart (1983),,,Suitable,Low,
MYRTACEAE,Eucalyptus staeri,w,,,,,"Wills (1993), Freebury (pers. comm.)",,Suitable,Low,
MYRTACEAE,Eucalyptus steedmanii,w,V,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus stoatei,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus subangusta subsp. virescens,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus suberea,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus subtilis,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus tenera,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus tenuiramis,t,,,"Podger et al. (1990), Taylor (1974)",,,,Suitable,Low,
MYRTACEAE,Eucalyptus todtiana,w,,,"Hill (1990), Podger (1972)",,"Hill (1990), Podger (1972)",,Suitable,Low,
MYRTACEAE,Eucalyptus uncinata,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Eucalyptus viminalis,"a,n,s,t,v",,,"Cahill (pers. comm.), Kueh (2011), Podger & Batini (1971), Pratt & Heather (1973), Weste (2001)",Rudman (pers. comm.),,Kueh (2011),Suitable,Low,
MYRTACEAE,Eucalyptus wandoo,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus willisii,v,,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
MYRTACEAE,Eucalyptus yarraensis,v,,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus zopherophloia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Euryomyrtus ramosissima subsp. prostrata,"n,t,v",,,Cahill (pers. comm.),,,,Suitable,Low,
MYRTACEAE,Gossia grayi,q,,,,Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Homalocalyx coarctatus,w,,,Taylor (1974),,,,Unsuitable,Low,
MYRTACEAE,Homalospermum firmum,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Hypocalymma angustifolium,w,,,"Podger (1968), Shearer & Dillon (1996)","McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
MYRTACEAE,Hypocalymma cordifolium,w,,,"Podger (1968), Shivas (1989)",Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Hypocalymma myrtifolium,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Hypocalymma phillipsii,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Hypocalymma robustum,w,,,"Hill (1990), Podger (1968), Shearer & Dillon (1995), Shearer & Dillon (1996), Shivas (1989), DBCA (2021)",,"Hill (1990), Shearer & Dillon (1996)",,Suitable,Low,
MYRTACEAE,Hypocalymma speciosum,w,,E,,"Wills (1993), Barrett (pers. comm.)",Moore (2005),,Suitable,Moderate,
MYRTACEAE,Hypocalymma strictum,w,,,,,,Wills (1993),Suitable,Low,
MYRTACEAE,Kunzea ericifolia,w,,,"Shivas (1989), DBCA (2021)",,Freebury (pers. comm.),,Suitable,Low,
MYRTACEAE,Kunzea micrantha subsp. hirtiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Kunzea montana,w,,V,"Barrett (pers. comm.), DBCA (2021)",,"Barrett (1996), Shearer & Crane (unpub. data)",,Suitable,Low,
MYRTACEAE,Kunzea muelleri,"a,n,v",,,,Rigg et al. (2018),,,Unsuitable,Low,
MYRTACEAE,Kunzea parvifolia,"a,n,v",,,Cahill (pers. comm.),,,,Suitable,Low,
MYRTACEAE,Kunzea pomifera,"s,v",,,"Kueh (2011), Taylor (1974)",,,Kueh (2011),Suitable,Low,
MYRTACEAE,Kunzea preissiana,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Kunzea recurva,w,,,"Taylor (1974), DBCA (2021)",,,Wills (1993),Suitable,Low,
MYRTACEAE,Kunzea similis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Kunzea sulphurea,w,,V,DBCA (2021),,,,Suitable,Moderate,
MYRTACEAE,Leptospermum continentale,"a,n,s,v",,,"Cahill (pers. comm.), Kueh (2011), Lee & Wicks (1977), Vickery (1997), Weste (2001)",Groves et al. (2009),"McDougall (pers. comm.), VNPS (1995)",Kueh (2011),Suitable,Low,
MYRTACEAE,Leptospermum coriaceum,"n,s,v",,,Taylor (1974),,,,Mostly unsuitable,Low,
MYRTACEAE,Leptospermum erubescens,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Leptospermum glaucescens,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,"Rudman (pers. comm.), Schahinger et al. (2003)",Suitable,Low,
MYRTACEAE,Leptospermum juniperinum,"n,q",,,"Kueh (2011), Taylor (1974)",,Velzeboer (pers. comm.),Kueh (2011),Suitable,Low,
MYRTACEAE,Leptospermum lanigerum,"a,n,s,t,v",,,Taylor (1974),,,,Suitable,Low,
MYRTACEAE,Leptospermum myrsinoides,"n,s,v",,,"Cahill (pers. comm.), Kueh (2011), Weste (2001)",Groves et al. (2009),VNPS (1995),Kueh (2011),Suitable,Low,
MYRTACEAE,Leptospermum scoparium,"n,t,v",,,"Podger (1989), Podger et al. (1990)","McDougall (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
MYRTACEAE,Leptospermum trinervium,"a,n,q,v",,,,,Howard et al. (2004),,Suitable,Low,
MYRTACEAE,Lophostemon confertus,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Melaleuca agathosmoides,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca araucarioides,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca armillaris,"n,s,t,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Melaleuca boeophylla,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Melaleuca cuticularis,"s,w",,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Melaleuca decussata,"s,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Melaleuca dempta,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Melaleuca densa,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Melaleuca diosmifolia,w,,V,,Gardner & Rokich (1987),Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Melaleuca elliptica,w,,,Taylor (1974),,,,Mostly unsuitable,Low,
MYRTACEAE,Melaleuca ericifolia,"n,t,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Melaleuca eximia,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Melaleuca fissurata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca gibbosa,"s,t,v",,,Podger et al. (1990),,,,Suitable,Low,
MYRTACEAE,Melaleuca holosericea,w,,,,Tynan et al. (2001),,,Suitable,Low,
MYRTACEAE,Melaleuca huttensis,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Melaleuca incana,w,,,Taylor (1974),,,,Suitable,Low,
MYRTACEAE,Melaleuca incana subsp. Gingilup (N.Gibson & M.Lyons 593),w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Melaleuca lanceolata,"n,q,s,v,w",,,Shivas (1989),Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Melaleuca laxiflora,w,,,,Podger (1972),,,Suitable,Low,
MYRTACEAE,Melaleuca leptospermoides,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Melaleuca leucadendra,"nt,q,w",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Melaleuca macronychia,w,,,Taylor (1974),"Gardner & Rokich (1987), Shearer & Crane (unpub. data)",,,Suitable,Low,
MYRTACEAE,Melaleuca nesophila,w,,,DBCA (2021),Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Melaleuca oldfieldii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca ordinifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca penicula,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca pentagona,w,,,Taylor (1974),Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Melaleuca preissiana,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Melaleuca pritzelii,w,,,,Shearer & Crane (unpub. data),Barrett (pers. comm.),,Suitable,Low,
MYRTACEAE,Melaleuca procera,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Melaleuca pulchella,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Melaleuca rhaphiophylla,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Melaleuca ringens,w,,V,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Melaleuca scabra,w,,,Hill (1990),,Hill (1990),,Suitable,Low,
MYRTACEAE,Melaleuca sciotostyla,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Melaleuca sclerophylla,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca sculponeata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca seriata,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Melaleuca sophisma,w,,CE,,Shearer & Crane (unpub. data),,,Suitable,Moderate,
MYRTACEAE,Melaleuca spathulata,w,,,,"Gardner & Rokich (1987), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Melaleuca squamea,"n,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003), Podger & Brown (1989), Taylor (1974), Weste (2001)",,,Schahinger et al. (2003),Suitable,Low,
MYRTACEAE,Melaleuca squarrosa,"n,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)","Groves et al. (2009), McDougall (pers. comm.)",VNPS (1995),,Suitable,Low,
MYRTACEAE,Melaleuca stramentosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Melaleuca striata,w,,,DBCA (2021),Barrett (pers. comm.),Freebury (pers. comm.),Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Melaleuca suberosa,w,,,,Wills (1993),,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Melaleuca subfalcata,w,,,,,Wills (1993),,Suitable,Low,
MYRTACEAE,Melaleuca thymoides,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,,"Barrett & Rathbone (2018), Barrett (1996)",Suitable,Low,
MYRTACEAE,Melaleuca uncinata,"n,q,s,v,w",,,Taylor (1974),,,,Mostly unsuitable,Low,
MYRTACEAE,Melaleuca urceolaris,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Melaleuca violacea,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Melaleuca wilsonii,"s,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Pericalymma ellipticum,w,,,"Hill (1990), Podger (1972), Podger (1968), Shearer & Dillon (1995), Shearer & Dillon (1996), Shivas (1989), DBCA (2021)",Shearer & Crane (unpub. data),"Hill (1990), Podger (1972)",,Suitable,Low,
MYRTACEAE,Pericalymma spongiocaule,w,,,DBCA (2021),,Barrett (pers. comm.),,Suitable,Low,
MYRTACEAE,Phymatocarpus maxwellii,w,,,Taylor (1974),,,,Suitable,Low,
MYRTACEAE,Regelia ciliata,w,,,DBCA (2021),Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Regelia cymbifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Regelia inops,w,,,Taylor (1974),Wills (1993),Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Regelia megacephala,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Rhodamnia blairiana,q,,,,Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Rhodamnia rubescens,"n,q",CE,,,McDougall (pers. comm.),,,Suitable,Moderate,
MYRTACEAE,Rhodamnia sessiliflora,q,,,,Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Rhodomyrtus psidioides,"n,q",CE,,,McDougall (pers. comm.),,,Suitable,Moderate,
MYRTACEAE,Scholtzia involucrata,w,,,Hill (1990),,,,Suitable,Low,
MYRTACEAE,Seorsus clavifolius,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Syzygium cormiflorum,q,,,,Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Syzygium erythrodoxum,q,,,Brown (1998),,,,Suitable,Low,
MYRTACEAE,Syzygium johnsonii,q,,,,Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Syzygium kuranda,q,,V,,,Worboys et al. (2003),,Suitable,Low,
MYRTACEAE,Syzygium resa,q,,,Brown (1998),Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Syzygium smithii,"n,q,v",,,Robertson (1970),Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Syzygium wesa,q,,,Brown (1998),Worboys et al. (2003),,,Suitable,Low,
MYRTACEAE,Taxandria floribunda,w,,V,,Groves et al. (2009),Moore (2005),,Suitable,Low,
MYRTACEAE,Taxandria juniperina,w,,,,"Barrett (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
MYRTACEAE,Taxandria linearifolia,w,,,Hart (1983),Barrett (pers. comm.),"Hart (1983), Wills (1993)",,Suitable,Low,
MYRTACEAE,Taxandria parviceps,w,,,,Barrett (pers. comm.),Wills (1993),,Suitable,Low,
MYRTACEAE,Taxandria spathulata,w,,,,,"Barrett (pers. comm.), Wills (1993), ",Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Thryptomene calycina,"s,v",,V,"Pratt & Heather (1973), Weste (2001)",,,Weste (2001),Suitable,Moderate,
MYRTACEAE,Thryptomene micrantha,"s,t,v",,,Schahinger et al. (2003),,,Rudman (pers. comm.),Suitable,Low,
MYRTACEAE,Thryptomene saxicola,w,,,,Shearer & Crane (unpub. data),Hill (1990),,Suitable,Low,
MYRTACEAE,Verticordia amphigia,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Verticordia carinata,w,V,E,"Barrett (pers. comm.), DBCA (2021)",,Barrett (pers. comm.),Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Verticordia chrysantha,w,,,Taylor (1974),,,,Mostly unsuitable,Low,
MYRTACEAE,Verticordia comosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Verticordia dasystylis subsp. dasystylis,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Verticordia densiflora,w,E,,"Hill (1990), Podger (1972), Shearer & Dillon (1995), Shivas (1989)",,"Hill (1990), Podger (1972)",Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Verticordia endlicheriana var. angustifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Verticordia fimbrilepis,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Verticordia habrantha,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Verticordia helichrysantha,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Verticordia huegelii,w,,,"Hill (1990), Podger (1972), Shearer & Dillon (1995), Shivas (1989)",,"Hill (1990), Podger (1972), Shearer & Crane (unpub. data)",,Suitable,Low,
MYRTACEAE,Verticordia multiflora subsp. multiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
